Post Date,Description,Debit,Category
5/31/2022,Withdrawal TRANSACTION FEES,45.5,Company
5/31/2022,Withdrawal LOW BALANCE FEE,6,Company
5/31/2022,Withdrawal POS #215118617586/POS MURPHY6745ATWALMART CEDAR PARK TX Card 4969 Merchant Category Code: 5542,86.02,Company
5/31/2022,Withdrawal ACH ATT/TYPE: RETRY PYMT ID: 9864031004 CO: ATT,789.34,Company
5/31/2022,Withdrawal ACH ALLY/TYPE: ALLY PAYMT ID: 9833122002 CO: ALLY,509.98,Company
5/31/2022,Withdrawal ACH BCBS HEALTH HPS/TYPE: 8007928595 ID: 1361236610 CO: BCBS HEALTH HPS,498.66,Company
5/31/2022,Withdrawal ACH ATMOS ENERGY RCR/TYPE: UTIL PYMT ID: 9000000091 CO: ATMOS ENERGY RCR NAME: MARTHA HERNANDEZ,30.11,Personal
5/28/2022,Recurring Withdrawal Bill Payment - #214816901661/BP APPLE COM BILL CUPERTINO CA Card 2272 Merchant Category Code: 4899,14.06,Personal
5/28/2022,Withdrawal Bill Payment #214827026832/BP FORTIVA 855-802-5572 GA Card 4969 Merchant Category Code: 6051,43.85,Company
5/27/2022,Withdrawal DEBIT CARD/DD DOORDASH WINGSTOP 855-973-1040 CA Date 05/27/22 24492152147719359624171 Card 4969Merchant Category Code: 5812,46.29,Personal
5/27/2022,Withdrawal ACH ADP PAYROLL FEES/TYPE: ADP - FEES ID: 9659605001 DATA: OT CO: ADP PAYROLL FEES,149.79,Company
5/27/2022,Withdrawal DEBIT CARD/CCS FARMERS INSURANCE GRP 800-9985000 TX Date 05/26/22 24447722146900018108270 Card 2272Merchant Category Code: 8931,94.8,Company
5/27/2022,Withdrawal DEBIT CARD/JIFFY LUBE 2476 AUSTIN TX Date 05/26/22 24231682146837000455572 Card 2675Merchant Category Code: 7538,89.14,Company
5/26/2022,Withdrawal DEBIT CARD/DD DOORDASH MR.GATTIS 855-973-1040 CA Date 05/26/22 24492152146713225445649 Card 0718Merchant Category Code: 5812,42.95,Personal
5/26/2022,Withdrawal DEBIT CARD/QT 4143 CEDAR PARK TX Date 05/25/22 24692162146100852647472 Card 4969Merchant Category Code: 5541,25.3,Company
5/26/2022,Withdrawal POS #214684945001/POS NST THE HOME DEPOT 002992 1200 HOME DEPOT BLVD SUNSET VALLEY TX Card 2675Merchant Category Code: 5200,9.68,Company
5/25/2022,Check 2548 Tracer 818100000306912,2842.13,Company
5/25/2022,Check 2546 Tracer 818100000307070,240,Company
5/25/2022,Withdrawal DEBIT CARD/SQ *LONGHORN TRAILERS &amp; E Austin TX Date 05/25/22 24692162145100068379705 Card 2675Merchant Category Code: 7513,45,Company
5/25/2022,Withdrawal DEBIT CARD/TEXAS ROADHOUSE #2322 HOLLYWOOD PAR TX Date 05/25/22 24231682145837000755196 Card 0718Merchant Category Code: 5812,63.3,Personal
5/25/2022,Withdrawal POS #214514395536/POS SHELL SERVICE STATION AUSTIN TX Card 0001 Merchant Category Code: 5541,55.61,Company
5/25/2022,Withdrawal at ATM #214516051300/ATM M212113 1801 EAST WHITESTONE BL PARK TX Card 4969Merchant Category Code: 6011,100,Company
5/25/2022,Withdrawal POS #214510819695/POS BUC-EE'S #22 2760 IH 35 N NEW BRAUNFELS TX Card 0718Merchant Category Code: 5542,29.14,Personal
5/25/2022,Withdrawal DEBIT CARD/VIVINT INC/US 800-216-5232 UT Date 05/25/22 24430992145083739976538 Card 4969Merchant Category Code: 7393,61.13,Company
5/25/2022,Withdrawal DEBIT CARD/JIMMY JOHNS - 1810 CEDAR PARK TX Date 05/24/22 24269792145000974551339 Card 4969Merchant Category Code: 5814,9.39,Personal
5/25/2022,Withdrawal DEBIT CARD/DISCOUNT TIRE TXA 21 LEANDER TX Date 05/24/22 24445002145000728618674 Card 4969Merchant Category Code: 5532,99.14,Personal
5/24/2022,Withdrawal POS #214500755217/POS WALGREENS STORE 905 CRYST LEANDER TX Card 4969 Merchant Category Code: 5912,8.1,Personal
5/24/2022,Check 2522 Tracer 818000000505550,850,Company
5/24/2022,Withdrawal POS #214418229848/POS COSTCO WHSE #0693 SAN ANTONIO TX Card 0718 Merchant Category Code: 5300,57.77,Personal
5/24/2022,Withdrawal POS #214400082003/POS TARGET T-2342 1101 C-Bar Ranch Trl Cedar Park TX Card 0001Merchant Category Code: 5411,271.93,Personal
5/24/2022,Withdrawal DEBIT CARD/SQ *SANA VIDA WELLNESS CE gosq.com TX Date 05/24/22 24692162144100290017223 Card 4969Merchant Category Code: 8011,149,Personal
5/24/2022,Withdrawal POS #214416143841/POS H-E-B #265 CEDAR PARK TX Card 4969 Merchant Category Code: 5411,143.33,Personal
5/24/2022,Withdrawal DEBIT CARD/VIVINT INC/US 800-216-5232 UT Date 05/24/22 24430992144083756494499 Card 4969Merchant Category Code: 7393,39.48,Company
5/24/2022,Withdrawal POS #214475222601/POS NST THE HOME DEPOT 000721 1200 HOME DEPOT BLVD SUNSET VALLEY TX Card 2675Merchant Category Code: 5200,269.54,Company
5/24/2022,Withdrawal POS #214411135565/POS H-E-B GAS/CARWASH #265 CEDAR PARK TX Card 4969 Merchant Category Code: 5542,66.4,Personal
5/24/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,2133.97,Company
5/24/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,2000,Company
5/24/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,1700,Company
5/24/2022,Withdrawal ACH DISCOVER BANK/TYPE: PREARRANGE ID: 6510020271 DATA: DC FINOUT DPLSVCPAY CO: DISCOVER BANK,656.2,Company
5/24/2022,Withdrawal POS #214414139600/POS 7-ELEVEN 36630 7844 BURNET RD AUSTIN TX Card 2675Merchant Category Code: 5542,68.32,Personal
5/24/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 05/23/22 24427332143740274303057 Card 4969Merchant Category Code: 5411,175.56,Personal
5/24/2022,Withdrawal DEBIT CARD/CITY OF CEDAR PARK 512-4015000 TX Date 05/23/22 24755422143641433960202 Card 0001Merchant Category Code: 4900,141.05,Personal
5/24/2022,Withdrawal DEBIT CARD/EL RINCONCITO SALVADORENO AUSTIN TX Date 05/22/22 24036282143017012651364 Card 2272Merchant Category Code: 5814,63.58,Personal
5/23/2022,Check 2545 Tracer 817900000413739,1442.5,Company
5/23/2022,Check 2543 Tracer 817900000413740,3000,Company
5/23/2022,Check 2540 Tracer 817900000415188,1100,Company
5/23/2022,Withdrawal POS #214352788200/POS FUEL MAXX # 17 52450 HWY 290 TX Card 2272Merchant Category Code: 5541,3.98,Company
5/23/2022,Withdrawal Cash,500,Company
5/23/2022,Withdrawal POS #214300441195/POS 7-ELEVEN 6111 Bee Cave Rd US Austin Card 0718 Merchant Category Code: 5542,80.66,Company
5/23/2022,Withdrawal DEBIT CARD/RAISING CANE'S #115 CEDAR PARK TX Date 05/22/22 24231682143698164095981 Card 4969Merchant Category Code: 5814,10.91,Personal
5/23/2022,Withdrawal POS #000000DGIQPT/POS AMAZON.COM*1R9133EX2 SEATTLE WA Card 4969 Merchant Category Code: 4816,128.81,Personal
5/23/2022,Withdrawal DEBIT CARD/SHORT STOP #7 CEDAR PARK TX Date 05/22/22 24137462143100235709213 Card 4969Merchant Category Code: 5814,25.03,Personal
5/23/2022,Withdrawal Bill Payment #214320100187/BP CULLIGAN/ULTRAPURE WAT 507-200-0820 Card 2272 Merchant Category Code: 4900,97.32,Personal
5/23/2022,Withdrawal POS #214306419000/POS 7-ELEVEN 36589 10207 LAKE CREEK AUSTIN TX Card 2675Merchant Category Code: 5542,125,Personal
5/23/2022,Withdrawal POS #214309289438/POS RANDALLS #3145 LEANDER TX Card 4969 Merchant Category Code: 5411,116.7,Personal
5/23/2022,Withdrawal DEBIT CARD/H-E-B #465 AUSTIN TX Date 05/22/22 24427332142740271581615 Card 2272Merchant Category Code: 5411,41.85,Personal
5/22/2022,Withdrawal DEBIT CARD/DOORDASH*EINSTEIN BROS WWW.DOORDASH. CA Date 05/22/22 24011342142000048794392 Card 4969Merchant Category Code: 5812,31.13,Personal
5/22/2022,Withdrawal DEBIT CARD/SHELL OIL 57541467106 AUSTIN TX Date 05/21/22 24316052142548174823895 Card 2272Merchant Category Code: 5542,63.49,Company
5/22/2022,Withdrawal DEBIT CARD/TST* ESTANCIA BRAZILIAN S AUSTIN TX Date 05/22/22 24137462142500686146222 Card 2272Merchant Category Code: 5812,791.77,Personal
5/22/2022,Uncollected Fee/Due since 05/21/22 - Courtesy Pay-Dbt,34,Fee
5/22/2022,Uncollected Fee/Due since 05/21/22 - Courtesy Pay-Dbt,34,Fee
5/22/2022,Uncollected Fee/Due since 05/21/22 - Courtesy Pay-Dbt,34,Fee
5/22/2022,Uncollected Fee/Due since 05/20/22 - Courtesy Pay-Dbt,34,Fee
